Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain,painful_walking,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
arthritis,stiff_neck,swelling_joints,movement_stiffness,painful_walking,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
arthritis,muscle_weakness,swelling_joints,movement_stiffness,painful_walking,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
arthritis,muscle_weakness,stiff_neck,movement_stiffness,painful_walking,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
arthritis,muscle_weakness,stiff_neck,swelling_joints,painful_walking,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
(vertigo) paroymsal  positional vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
(vertigo) paroymsal  positional vertigo,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
(vertigo) paroymsal  positional vertigo,vomiting,nausea,spinning_movements,loss_of_balance,unsteadiness,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
(vertigo) paroymsal  positional vertigo,vomiting,headache,spinning_movements,loss_of_balance,unsteadiness,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
(vertigo) paroymsal  positional vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
(vertigo) paroymsal  positional vertigo,vomiting,headache,nausea,spinning_movements,unsteadiness,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
(vertigo) paroymsal  positional vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
acne,skin_rash,pus_filled_pimples,blackheads,scurring,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
acne,pus_filled_pimples,blackheads,scurring,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
acne,skin_rash,blackheads,scurring,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
acne,skin_rash,pus_filled_pimples,scurring,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
acne,skin_rash,pus_filled_pimples,blackheads,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
urinary tract infection,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
urinary tract infection,burning_micturition,foul_smell_of urine,continuous_feel_of_urine,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
psoriasis,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
psoriasis,skin_rash,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
psoriasis,skin_rash,joint_pain,silver_like_dusting,small_dents_in_nails,inflammatory_nails,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
psoriasis,skin_rash,joint_pain,skin_peeling,small_dents_in_nails,inflammatory_nails,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,inflammatory_nails,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
impetigo,skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
impetigo,high_fever,blister,red_sore_around_nose,yellow_crust_ooze,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
impetigo,skin_rash,high_fever,red_sore_around_nose,yellow_crust_ooze,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
impetigo,skin_rash,high_fever,blister,yellow_crust_ooze,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
impetigo,skin_rash,high_fever,blister,red_sore_around_nose,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom,no symptom
